"File","Line","Type","Function","Detail"
"src\crazycar\main.py","67","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\main.py","121","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\main.py","152","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------"
"src\crazycar\main.py","164","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------"
"src\crazycar\main.py","167","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------"
"src\crazycar\main.py","201","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\main.py","205","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\main.py","210","DUPLICATE_COMMENT","","Duplicate: Clean abort without long traceback (Ctrl+C)"
"src\crazycar\car\actuation.py","37","MAGIC_NUMBER","","Number 0.03 needs comment with unit/meaning"
"src\crazycar\car\actuation.py","45","MAGIC_NUMBER","","Number 0.03 needs comment with unit/meaning"
"src\crazycar\car\actuation.py","47","MAGIC_NUMBER","","Number 10.0 needs comment with unit/meaning"
"src\crazycar\car\collision.py","65","MAGIC_NUMBER","","Number 255 needs comment with unit/meaning"
"src\crazycar\car\collision.py","66","MAGIC_NUMBER","","Number 237 needs comment with unit/meaning"
"src\crazycar\car\collision.py","170","MAGIC_NUMBER","","Number 0.5 needs comment with unit/meaning"
"src\crazycar\car\constants.py","8","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\car\constants.py","15","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\car\constants.py","18","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\car\constants.py","22","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\car\constants.py","25","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\car\constants.py","28","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\car\constants.py","31","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\car\constants.py","36","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\car\constants.py","39","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\car\constants.py","44","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\car\constants.py","47","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\car\dynamics.py","26","MAGIC_NUMBER","","Number 100 needs comment with unit/meaning"
"src\crazycar\car\dynamics.py","32","MAGIC_NUMBER","","Number 100 needs comment with unit/meaning"
"src\crazycar\car\kinematics.py","93","MAGIC_NUMBER","","Number 2.0 needs comment with unit/meaning"
"src\crazycar\car\kinematics.py","16","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\car\model.py","238","MAGIC_NUMBER","","Number 130.0 needs comment with unit/meaning"
"src\crazycar\car\model.py","372","MAGIC_NUMBER","","Number 360 needs comment with unit/meaning"
"src\crazycar\car\model.py","373","MAGIC_NUMBER","","Number 360 needs comment with unit/meaning"
"src\crazycar\car\model.py","376","MAGIC_NUMBER","","Number 10 needs comment with unit/meaning"
"src\crazycar\car\model.py","377","MAGIC_NUMBER","","Number 10 needs comment with unit/meaning"
"src\crazycar\car\model.py","378","MAGIC_NUMBER","","Number 10 needs comment with unit/meaning"
"src\crazycar\car\model.py","379","MAGIC_NUMBER","","Number 10 needs comment with unit/meaning"
"src\crazycar\car\model.py","393","MAGIC_NUMBER","","Number 0.5 needs comment with unit/meaning"
"src\crazycar\car\model.py","394","MAGIC_NUMBER","","Number 0.5 needs comment with unit/meaning"
"src\crazycar\car\model.py","396","MAGIC_NUMBER","","Number 0.5 needs comment with unit/meaning"
"src\crazycar\car\model.py","411","MAGIC_NUMBER","","Number 130.0 needs comment with unit/meaning"
"src\crazycar\car\model.py","61","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\car\rebound.py","28","MAGIC_NUMBER","","Number 15.0 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","29","MAGIC_NUMBER","","Number 10 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","76","MAGIC_NUMBER","","Number 15 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","104","MAGIC_NUMBER","","Number 0.8 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","105","MAGIC_NUMBER","","Number 0.5 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","106","MAGIC_NUMBER","","Number 0.2 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","108","MAGIC_NUMBER","","Number 0.8 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","127","MAGIC_NUMBER","","Number 1.7 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","128","MAGIC_NUMBER","","Number 8.0 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","129","MAGIC_NUMBER","","Number 7.0 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","132","MAGIC_NUMBER","","Number 1.7 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","133","MAGIC_NUMBER","","Number 8.0 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","134","MAGIC_NUMBER","","Number 7.0 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","140","MAGIC_NUMBER","","Number 360 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","141","MAGIC_NUMBER","","Number 360 needs comment with unit/meaning"
"src\crazycar\car\rebound.py","150","MAGIC_NUMBER","","Number 360.0 needs comment with unit/meaning"
"src\crazycar\car\rendering.py","33","MAGIC_NUMBER","","Number 32 needs comment with unit/meaning"
"src\crazycar\car\rendering.py","35","MAGIC_NUMBER","","Number 16 needs comment with unit/meaning"
"src\crazycar\car\rendering.py","21","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\car\rendering.py","53","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\car\rendering.py","57","DUPLICATE_COMMENT","","Duplicate: ----------------------------"
"src\crazycar\car\sensors.py","41","MAGIC_NUMBER","","Number 360 needs comment with unit/meaning"
"src\crazycar\car\sensors.py","42","MAGIC_NUMBER","","Number 360 needs comment with unit/meaning"
"src\crazycar\car\sensors.py","47","MAGIC_NUMBER","","Number 360 needs comment with unit/meaning"
"src\crazycar\car\sensors.py","48","MAGIC_NUMBER","","Number 360 needs comment with unit/meaning"
"src\crazycar\car\sensors.py","85","MAGIC_NUMBER","","Number 23962 needs comment with unit/meaning"
"src\crazycar\car\sensors.py","86","MAGIC_NUMBER","","Number 58.5 needs comment with unit/meaning"
"src\crazycar\car\sensors.py","89","MAGIC_NUMBER","","Number 23962.0 needs comment with unit/meaning"
"src\crazycar\car\sensors.py","90","MAGIC_NUMBER","","Number 58.5 needs comment with unit/meaning"
"src\crazycar\car\state.py","52","MAGIC_NUMBER","","Number 60 needs comment with unit/meaning"
"src\crazycar\car\timeutil.py","37","MAGIC_NUMBER","","Number 1000.0 needs comment with unit/meaning"
"src\crazycar\car\units.py","9","MAGIC_NUMBER","","Number 1900 needs comment with unit/meaning"
"src\crazycar\control\interface.py","236","MAGIC_NUMBER","","Number 100.0 needs comment with unit/meaning"
"src\crazycar\control\interface.py","331","MAGIC_NUMBER","","Number 100 needs comment with unit/meaning"
"src\crazycar\control\interface.py","335","MAGIC_NUMBER","","Number 255 needs comment with unit/meaning"
"src\crazycar\control\interface.py","398","MAGIC_NUMBER","","Number 18 needs comment with unit/meaning"
"src\crazycar\control\interface.py","399","MAGIC_NUMBER","","Number 60 needs comment with unit/meaning"
"src\crazycar\control\interface.py","400","MAGIC_NUMBER","","Number 100 needs comment with unit/meaning"
"src\crazycar\control\interface.py","403","MAGIC_NUMBER","","Number 18 needs comment with unit/meaning"
"src\crazycar\control\interface.py","405","MAGIC_NUMBER","","Number 18 needs comment with unit/meaning"
"src\crazycar\control\interface.py","406","MAGIC_NUMBER","","Number 10 needs comment with unit/meaning"
"src\crazycar\control\interface.py","64","DUPLICATE_COMMENT","","Duplicate: --------------------------------------------------------------------"
"src\crazycar\control\interface.py","71","DUPLICATE_COMMENT","","Duplicate: --------------------------------------------------------------------"
"src\crazycar\control\interface.py","74","DUPLICATE_COMMENT","","Duplicate: --------------------------------------------------------------------"
"src\crazycar\control\interface.py","83","DUPLICATE_COMMENT","","Duplicate: --------------------------------------------------------------------"
"src\crazycar\control\interface.py","86","DUPLICATE_COMMENT","","Duplicate: --------------------------------------------------------------------"
"src\crazycar\control\interface.py","132","DUPLICATE_COMMENT","","Duplicate: --------------------------------------------------------------------"
"src\crazycar\control\interface.py","136","DUPLICATE_COMMENT","","Duplicate: --------------------------------------------------------------------"
"src\crazycar\control\interface.py","164","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\control\interface.py","187","DUPLICATE_COMMENT","","Duplicate: --------------------------------------------------------------------"
"src\crazycar\control\interface.py","190","DUPLICATE_COMMENT","","Duplicate: --------------------------------------------------------------------"
"src\crazycar\control\interface.py","223","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\control\interface.py","225","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\control\interface.py","290","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\control\interface.py","293","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\control\interface.py","365","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\control\interface.py","368","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\control\interface.py","410","DUPLICATE_COMMENT","","Duplicate: Apply actuation"
"src\crazycar\control\interface.py","413","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\control\interface.py","417","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\control\interface.py","431","DUPLICATE_COMMENT","","Duplicate: Delegate to the canonical screen_service implementation. Keep a thin"
"src\crazycar\control\interface.py","439","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\control\interface.py","443","DUPLICATE_COMMENT","","Duplicate: ------------------------------------------------------------"
"src\crazycar\control\optimizer_adapter.py","63","DUPLICATE_COMMENT","","Duplicate: -----------------------------------------------------------------------------"
"src\crazycar\control\optimizer_adapter.py","83","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\control\optimizer_adapter.py","102","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\control\optimizer_adapter.py","107","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\control\optimizer_adapter.py","116","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\control\optimizer_adapter.py","120","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\control\optimizer_adapter.py","151","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\control\optimizer_adapter.py","155","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\control\optimizer_adapter.py","239","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\control\optimizer_adapter.py","243","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\control\optimizer_adapter.py","323","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\control\optimizer_adapter.py","327","DUPLICATE_COMMENT","","Duplicate: ---------------------------------------------------------------------------"
"src\crazycar\control\optimizer_api.py","12","MAGIC_NUMBER","","Number 60 needs comment with unit/meaning"
